,0
0,(0.00488553661853075+0.0008354941965080798j)
1,(0.0058636791072785854-0.0016872584819793701j)
2,(4.3203759715918276e-20-7.582548832832517e-20j)
3,(1.8118155393816643e-20-3.3932396292997163e-20j)
4,(8.918573476606661e-20-6.178494399789568e-20j)
5,(8.964845184591053e-20+2.4503503430998715e-20j)
